,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
59,NA,NA,NH Asian,>=College grad,0.001236536,0.016928539,-2.632522821,38,6.83E-101,1.22E-100
60,NA,NA,NH Asian,HSG/GED,0.002017507,0.006133302,-1.116003486,62,2.44E-20,2.90E-20
61,NA,NA,NH Asian,Some college/TS,0.004132635,0.007700758,-0.625992912,127,8.34E-13,9.47E-13
62,NA,NA,NH Black,<HSG,0.147375614,0.02939915,1.741614973,4529,0,0
63,NA,NA,NH Black,>=College grad,0.010152615,0.026365939,-0.970856954,312,2.08E-70,3.46E-70
64,NA,NA,NH Black,HSG/GED,0.078910546,0.03448316,0.87495019,2425,0,0
65,NA,NA,NH Black,Some college/TS,0.078194657,0.050880252,0.458927336,2403,2.93E-105,5.63E-105
66,NA,NA,NH White,<HSG,0.112720055,0.067465889,0.563030418,3464,1.52E-219,4.22E-219
67,NA,NA,NH White,>=College grad,0.038560411,0.181941826,-1.712959141,1185,0,0
68,NA,NA,NH White,HSG/GED,0.166834792,0.165455314,0.009957245,5127,0.515184647,0.515184647
69,NA,NA,NH White,Some college/TS,0.170349159,0.235255035,-0.404282516,5235,1.64E-158,3.72E-158
70,NA,NA,Other,<HSG,0.002505613,0.003131134,-0.22348912,77,0.049677624,0.051747525
71,NA,NA,Other,>=College grad,0.000715889,0.0111271,-2.754086392,22,8.37E-68,1.31E-67
72,NA,NA,Other,HSG/GED,0.002212749,0.008302768,-1.328475369,68,5.89E-32,7.36E-32
73,NA,NA,Other,Some college/TS,0.002635775,0.023826489,-2.223096375,81,4.78E-131,9.95E-131
74,NA,18-39,NA,<HSG,0,0.022823926,#NAME?,0,#NAME?,#NAME?
75,NA,18-39,NA,HSG/GED,0,0.030337037,#NAME?,0,#NAME?,#NAME?
76,NA,18-39,NA,Some college/TS,0,0.052220342,#NAME?,0,#NAME?,#NAME?
77,NA,18-39,NA,>=College grad,0,0.033869688,#NAME?,0,#NAME?,#NAME?
78,NA,40-59,NA,<HSG,0.055513976,0.054992597,0.009988105,1706,0.68846919,0.68846919
79,NA,40-59,NA,HSG/GED,0.060395041,0.084675362,-0.364098406,1856,9.06E-53,9.71E-53
80,NA,40-59,NA,Some college/TS,0.063453841,0.132007395,-0.808560824,1950,4.47E-276,5.59E-276
81,NA,40-59,NA,>=College grad,0.011551853,0.088858522,-2.121637588,355,0,0
