,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
55,NA,NA,NH Black,Some college/TS,0.060425615,0.054236287,0.114628689,619,0.005675984,0.00597472
56,NA,NA,NH White,<HSG,0.062377977,0.071533417,-0.146764938,639,0.000323593,0.000431458
57,NA,NA,NH White,>=College grad,0.177860211,0.167256763,0.074282689,1822,0.004032096,0.004480106
58,NA,NA,NH White,HSG/GED,0.159996095,0.123946035,0.29732429,1639,1.70E-28,4.25E-28
59,NA,NA,NH White,Some college/TS,0.22354549,0.207079501,0.097497051,2290,3.91E-05,6.51E-05
60,NA,NA,Other,<HSG,0.017376025,0.022243669,-0.25193207,178,0.000835731,0.001044664
61,NA,NA,Other,>=College grad,0.042268645,0.029637896,0.368093744,433,4.76E-14,9.52E-14
62,NA,NA,Other,HSG/GED,0.027821164,0.014566578,0.660609093,285,4.21E-29,1.40E-28
63,NA,NA,Other,Some college/TS,0.026552128,0.033325532,-0.2341964,272,0.000133691,0.000190987
64,NA,18-44,NA,<HSG,0.000195236,0.030964876,-5.097657684,2,1.48E-135,4.44E-135
65,NA,18-44,NA,>=College grad,0.000780945,0.020472243,-3.286224042,8,5.49E-45,9.14E-45
66,NA,18-44,NA,HSG/GED,0.001073799,0.033108857,-3.4611927,11,2.15E-73,4.60E-73
67,NA,18-44,NA,Some college/TS,0.000488091,0.061883366,-4.905898456,5,1.14E-146,4.29E-146
68,NA,45-64,NA,<HSG,0.085122999,0.088399161,-0.04135264,872,0.242773202,0.260114145
69,NA,45-64,NA,>=College grad,0.179519719,0.123971193,0.435744925,1839,2.93E-65,5.49E-65
70,NA,45-64,NA,HSG/GED,0.16546271,0.079648288,0.829003769,1695,8.47E-226,4.24E-225
71,NA,45-64,NA,Some college/TS,0.225790707,0.155289746,0.461467225,2313,2.08E-86,5.21E-86
72,NA,64+,NA,<HSG,0.063158922,0.096212021,-0.456819046,647,7.87E-30,1.07E-29
73,NA,64+,NA,>=College grad,0.079558766,0.089394233,-0.127303325,815,0.000484702,0.000559272
74,NA,64+,NA,HSG/GED,0.097422882,0.096362931,0.012113189,998,0.716191298,0.716191298
75,NA,64+,NA,Some college/TS,0.101425225,0.124293085,-0.229099008,1039,2.29E-12,2.86E-12
76,Male,18-44,Hispanic,NA,0.000975515,0.02090157,-3.084761535,10,3.66E-45,1.04E-44
77,Male,45-64,Hispanic,NA,0.024680519,0.049831433,-0.728757432,253,1.24E-31,2.47E-31
78,Male,64+,Hispanic,NA,0.011315969,0.024594098,-0.789812685,116,3.96E-18,5.39E-18
79,Male,18-44,NH White,NA,0,0.031034239,#NAME?,0,#NAME?,#NAME?
80,Male,45-64,NH White,NA,0.25821871,0.137152064,0.783900703,2647,4.49E-278,2.54E-277
81,Male,64+,NH White,NA,0.154814164,0.166292696,-0.085198148,1587,0.00180096,0.001975247
82,Male,18-44,NH Black,NA,0.000390206,0.008917863,-3.137704878,4,8.71E-34,1.85E-33
83,Male,45-64,NH Black,NA,0.060384353,0.038251136,0.479839217,619,1.55E-31,2.92E-31
84,Male,64+,NH Black,NA,0.034630768,0.01988306,0.570035632,355,1.06E-26,1.72E-26
85,Male,18-44,Other,NA,0.001170618,0.003548578,-1.11139917,12,5.15E-05,5.83E-05
86,Male,45-64,Other,NA,0.047702663,0.031281303,0.439063617,489,1.28E-21,1.98E-21
87,Male,64+,Other,NA,0.020193152,0.023125224,-0.138577405,207,0.048253606,0.049715837
88,Female,18-44,Hispanic,NA,0,0.021914806,#NAME?,0,#NAME?,#NAME?
89,Female,45-64,Hispanic,NA,0.024387865,0.043060861,-0.587854134,250,1.24E-20,1.83E-20
90,Female,64+,Hispanic,NA,0.010535558,0.024496951,-0.858003234,108,6.01E-20,8.52E-20
91,Female,18-44,NH White,NA,0,0.032154014,#NAME?,0,#NAME?,#NAME?
92,Female,45-64,NH White,NA,0.140278997,0.097192957,0.415835953,1438,4.35E-49,1.34E-48
93,Female,64+,NH White,NA,0.070334602,0.105437331,-0.443342656,721,5.69E-31,1.02E-30
94,Female,18-44,NH Black,NA,0,0.021057491,#NAME?,0,#NAME?,#NAME?
95,Female,45-64,NH Black,NA,0.067895815,0.034280174,0.718836398,696,4.44E-78,1.68E-77
96,Female,64+,NH Black,NA,0.027216857,0.023412047,0.15448942,279,0.010844957,0.011522767
97,Female,18-44,Other,NA,0,0.007217089,#NAME?,0,#NAME?,#NAME?
98,Female,45-64,Other,NA,0.03209443,0.015824804,0.723773275,329,8.84E-40,2.31E-39
99,Female,64+,Other,NA,0.012779241,0.019138212,-0.410327002,131,2.61E-06,3.06E-06
100,Male,18-44,NA,<HSG,0.000195236,0.010191007,-3.965098676,2,2.73E-42,5.46E-42
101,Male,18-44,NA,HSG/GED,0.001073799,0.023065409,-3.089392141,11,9.68E-50,2.21E-49
102,Male,18-44,NA,Some college/TS,0.000488091,0.025568075,-3.98401115,5,3.42E-58,8.41E-58
103,Male,18-44,NA,>=College grad,0.000780945,0.005640215,-1.982047799,8,5.12E-11,7.45E-11
104,Male,45-64,NA,<HSG,0.041390082,0.051648518,-0.232179247,424,2.71E-06,3.62E-06
105,Male,45-64,NA,HSG/GED,0.093225303,0.045722241,0.763495096,955,3.13E-117,1.25E-116
106,Male,45-64,NA,Some college/TS,0.13276064,0.083099064,0.524198786,1360,4.35E-74,1.26E-73
107,Male,45-64,NA,>=College grad,0.123682155,0.07629503,0.535771076,1267,5.82E-73,1.55E-72
108,Male,64+,NA,<HSG,0.038461538,0.043135008,-0.119548445,394,0.019897595,0.021955967
109,Male,64+,NA,HSG/GED,0.056325654,0.053719451,0.050132891,577,0.24202119,0.249828325
110,Male,64+,NA,Some college/TS,0.068137446,0.06471671,0.055171639,698,0.159350049,0.169973385
111,Male,64+,NA,>=College grad,0.057985162,0.072039239,-0.232055376,594,3.76E-08,5.24E-08
112,Female,18-44,NA,<HSG,0,0.02077387,#NAME?,0,#NAME?,#NAME?
113,Female,18-44,NA,HSG/GED,0,0.010043449,#NAME?,0,#NAME?,#NAME?
114,Female,18-44,NA,Some college/TS,0,0.036315294,#NAME?,0,#NAME?,#NAME?
115,Female,18-44,NA,>=College grad,0,0.014832028,#NAME?,0,#NAME?,#NAME?
116,Female,45-64,NA,<HSG,0.043732917,0.036750647,0.181220296,448,0.000172627,0.000212464
117,Female,45-64,NA,HSG/GED,0.072237407,0.033926051,0.796239344,740,8.97E-102,3.19E-101
118,Female,45-64,NA,Some college/TS,0.093030066,0.072190649,0.276329183,953,3.64E-16,5.55E-16
119,Female,45-64,NA,>=College grad,0.055837563,0.047676168,0.16662208,572,0.000105906,0.00013556
120,Female,64+,NA,<HSG,0.024697384,0.053077016,-0.79457671,253,1.40E-37,2.63E-37
121,Female,64+,NA,HSG/GED,0.041097228,0.042643521,-0.038548562,421,0.438590904,0.438590904
122,Female,64+,NA,Some college/TS,0.033287778,0.059576342,-0.609638615,341,2.57E-29,4.11E-29
123,Female,64+,NA,>=College grad,0.021573604,0.017354998,0.221892375,221,0.001077038,0.001276489
124,Female,NA,Hispanic,<HSG,0.017571261,0.045538735,-0.981179358,180,5.45E-42,3.81E-41
125,Female,NA,Hispanic,>=College grad,0.00312378,0.005698853,-0.603807669,32,0.000535469,0.000702803
126,Female,NA,Hispanic,HSG/GED,0.007907068,0.017472234,-0.802544197,81,1.48E-13,3.27E-13
127,Female,NA,Hispanic,Some college/TS,0.006345178,0.020849575,-1.204343056,65,9.18E-25,2.97E-24
128,Female,NA,NH Black,<HSG,0.022256931,0.020819485,0.068233205,228,0.308218977,0.34987019
129,Female,NA,NH Black,>=College grad,0.014349863,0.017290888,-0.18942756,147,0.022397426,0.028505815
130,Female,NA,NH Black,HSG/GED,0.029480672,0.010571652,1.044854825,302,3.89E-78,5.44E-77
131,Female,NA,NH Black,Some college/TS,0.028992581,0.0301441,-0.040135852,297,0.49547052,0.520244046
132,Female,NA,NH White,<HSG,0.019133151,0.035498562,-0.63489508,196,3.50E-19,9.19E-19
133,Female,NA,NH White,>=College grad,0.047247169,0.043988608,0.074876375,484,0.107775977,0.129331173
134,Female,NA,NH White,HSG/GED,0.063354159,0.054326209,0.163326212,649,5.55E-05,7.76E-05
135,Female,NA,NH White,Some college/TS,0.080827802,0.101198782,-0.247177322,828,8.12E-12,1.71E-11
136,Female,NA,Other,<HSG,0.009468957,0.008744747,0.080296487,97,0.431113831,0.464276434
137,Female,NA,Other,>=College grad,0.012690355,0.012884842,-0.015406328,130,0.861438941,0.861438941
138,Female,NA,Other,HSG/GED,0.012592737,0.004242885,1.096297604,129,1.19E-38,7.16E-38
139,Female,NA,Other,Some college/TS,0.010152284,0.015889859,-0.453795691,104,3.42E-06,4.95E-06
140,Male,NA,Hispanic,<HSG,0.01142132,0.043429583,-1.368572909,117,6.92E-57,5.82E-56
141,Male,NA,Hispanic,>=College grad,0.00468567,0.004324408,0.080596574,48,0.577369966,0.59145216
142,Male,NA,Hispanic,HSG/GED,0.010054666,0.021690308,-0.780652136,103,6.24E-16,1.46E-15
143,Male,NA,Hispanic,Some college/TS,0.010835611,0.025975302,-0.889732019,111,5.77E-22,1.62E-21
144,Male,NA,NH Black,<HSG,0.017473643,0.012011169,0.380400899,179,3.87E-07,6.77E-07
145,Male,NA,NH Black,>=College grad,0.017571261,0.009628861,0.609551666,180,1.84E-16,4.55E-16
146,Male,NA,NH Black,HSG/GED,0.028699727,0.020873269,0.326443684,294,3.01E-08,5.49E-08
147,Male,NA,NH Black,Some college/TS,0.031433034,0.024092187,0.273522282,322,1.26E-06,1.96E-06
148,Male,NA,NH White,<HSG,0.043244826,0.036034855,0.189898536,443,9.03E-05,0.00012228
149,Male,NA,NH White,>=College grad,0.130613042,0.123268156,0.066289827,1338,0.023739772,0.029325601
150,Male,NA,NH White,HSG/GED,0.096641937,0.069619827,0.357437672,990,6.17E-27,2.16E-26
151,Male,NA,NH White,Some college/TS,0.142717688,0.105880719,0.340627212,1462,8.53E-34,3.58E-33
152,Male,NA,Other,<HSG,0.007907068,0.013498922,-0.54050519,81,9.37E-07,1.51E-06
153,Male,NA,Other,>=College grad,0.02957829,0.016753053,0.581589673,303,4.79E-24,1.44E-23
154,Male,NA,Other,HSG/GED,0.015228426,0.010323693,0.393690516,156,9.05E-07,1.51E-06
155,Male,NA,Other,Some college/TS,0.016399844,0.017435672,-0.062300077,168,0.423142072,0.464276434
156,NA,18-44,Hispanic,<HSG,0.000195236,0.016808144,-4.472164285,2,1.30E-71,4.31E-71
157,NA,18-44,Hispanic,HSG/GED,0.000390472,0.0119899,-3.436134268,4,3.89E-47,1.02E-46
158,NA,18-44,Hispanic,Some college/TS,0.000292854,0.014059832,-3.885268525,3,1.02E-57,3.22E-57
159,NA,18-44,Hispanic,>=College grad,9.76E-05,0,-8888888,1,-8888888,-69999993
160,NA,18-44,NH White,<HSG,0,0.011701219,#NAME?,0,#NAME?,#NAME?
161,NA,18-44,NH White,HSG/GED,0,0.013445868,#NAME?,0,#NAME?,#NAME?
162,NA,18-44,NH White,Some college/TS,0,0.026905568,#NAME?,0,#NAME?,#NAME?
163,NA,18-44,NH White,>=College grad,0,0.011196902,#NAME?,0,#NAME?,#NAME?
164,NA,18-44,NH Black,<HSG,0,0.001223844,#NAME?,0,#NAME?,#NAME?
165,NA,18-44,NH Black,HSG/GED,0.000195236,0.005257604,-3.298296644,2,9.07E-21,1.59E-20
166,NA,18-44,NH Black,Some college/TS,9.76E-05,0.01686605,-5.168907181,1,8.40E-74,2.94E-73
167,NA,18-44,NH Black,>=College grad,9.76E-05,0.006656976,-4.228939126,1,2.22E-28,4.52E-28
168,NA,18-44,Other,<HSG,0,0.001231665,#NAME?,0,#NAME?,#NAME?
169,NA,18-44,Other,HSG/GED,0.000488091,0.00241544,-1.601066047,5,7.07E-05,8.73E-05
170,NA,18-44,Other,Some college/TS,9.76E-05,0.004051945,-3.729851766,1,7.32E-17,1.15E-16
171,NA,18-44,Other,>=College grad,0.000585709,0.002618361,-1.499517278,6,5.68E-05,7.15E-05
172,NA,45-64,Hispanic,<HSG,0.018059352,0.043810299,-0.912779802,185,3.82E-37,8.30E-37
173,NA,45-64,Hispanic,HSG/GED,0.012690355,0.016823439,-0.286125833,130,0.001143386,0.001311456
174,NA,45-64,Hispanic,Some college/TS,0.012885592,0.027001923,-0.754202179,132,1.20E-18,1.99E-18
175,NA,45-64,Hispanic,>=College grad,0.005466615,0.005346755,0.022290149,56,0.867880659,0.867880659
176,NA,45-64,NH White,<HSG,0.032409215,0.020229058,0.483832258,332,2.01E-18,3.25E-18
177,NA,45-64,NH White,HSG/GED,0.096544319,0.038879017,0.971420709,989,2.95E-200,1.55E-199
178,NA,45-64,NH White,Some college/TS,0.149453339,0.08798013,0.599655741,1531,6.26E-107,2.82E-106
179,NA,45-64,NH White,>=College grad,0.120265521,0.087484212,0.354828885,1232,7.68E-32,1.61E-31
180,NA,45-64,NH Black,<HSG,0.022940258,0.015634077,0.390890274,235,2.51E-09,3.59E-09
